node_id;x;y;z;v_x;v_y;v_z;disp_x;disp_y;disp_z;T;stress_mean;strain_plast;stress_eff;stress_flow;strain_rate;surface_dist;contact_dist;strain_vol;structHardness;structTensile;structHeat;structVolume;structt85;structInstTRate;volume;Sub.stress_xx;Sub.stress_yy;Sub.stress_zz;Sub.stress_xy;Sub.stress_yz;Sub.stress_zx;stress_1;stress_2;stress_3;strain_elast;Sub.Strain_eff;Sub._strain_xx;Sub._strain_yy;Sub._strain_zz;Sub._strain_xy;Sub._strain_yz;Sub._strain_zx;Sub.strain_xx;Sub.strain_yy;Sub.strain_zz;Sub.strain_xy;Sub.strain_yz;Sub.strain_zx;Sub.strain_1;Sub.strain_1_x;Sub.strain_1_y;Sub.strain_1_z;Sub.strain_2;Sub.strain_2_x;Sub.strain_2_y;Sub.strain_2_z;Sub.strain_3;Sub.strain_3_x;Sub.strain_3_y;Sub.strain_3_z;Sub.strain_vol;Sub._temper_vol;Sub.stress_xx;Sub.stress_yy;Sub.stress_zz;Sub.stress_xy;Sub.stress_yz;Sub.stress_zx;Sub.stress_1;Sub.stress_1_x;Sub.stress_1_y;Sub.stress_1_z;Sub.stress_2;Sub.stress_2_x;Sub.stress_2_y;Sub.stress_2_z;Sub.stress_3;Sub.stress_3_x;Sub.stress_3_y;Sub.stress_3_z
10;0.376095;0.0900943;-0.324103;-1.14615e-08;-6.08636e-09;-7.74465e-10;-0.00107707;-0.000530785;-0.000116507;39.2354;-4.05539e+08;1.24753;7.4552e+08;2.02319e+09;0;0;1e+30;-0.076583;428.497;1.33548e+09;109693;2.12669;3498.41;0.00531991;6.72139e-07;-1.53857e+08;-1.82024e+08;-8.80737e+08;-8.30522e+07;9.01661e+07;2.61042e+07;-8.17678e+07;-2.40858e+08;-8.93992e+08;0.237615;0.583094;0.132003;-0.52342;0.391417;0.042805;-0.356949;-0.0393391;0.106476;-0.548948;0.365889;0.042805;-0.356949;-0.0393391;0.401316;-0.0316328;-0.0745359;0.393063;0.105074;0.104713;0.00107158;0.00863026;-0.582973;0.0147163;-0.572799;-0.107435;-0.076583;-0.0952116;-1.53857e+08;-1.82024e+08;-8.80737e+08;-8.30522e+07;9.0166e+07;2.61042e+07;-8.17678e+07;-6.10243e+07;5.42674e+07;4.13044e+06;-2.40858e+08;-1.59868e+08;-1.77374e+08;-3.15159e+07;-8.93992e+08;4.43787e+07;1.17276e+08;-8.85154e+08
11;0.375717;0.0889362;-0.319415;-1.14706e-08;-6.0047e-09;-1.11864e-09;-0.00107383;-0.000522401;-0.0001492;39.2826;-3.28834e+08;1.28957;7.51838e+08;2.0183e+09;0;0;1e+30;-0.077161;428.497;1.33548e+09;109698;2.12675;3497.06;0.00533273;8.50862e-07;-5.78306e+07;-1.63643e+08;-7.65029e+08;-6.5869e+07;1.96345e+08;-5.6072e+06;-1.2442e+07;-1.50367e+08;-8.23694e+08;0.239631;0.652293;0.128456;-0.56501;0.436553;0.0468351;-0.466533;-0.0630814;0.102736;-0.59073;0.410833;0.0468351;-0.466533;-0.0630814;0.466038;-0.0458049;-0.100934;0.452665;0.0995404;0.0990352;-2.48877e-05;0.0100158;-0.642739;0.0138507;-0.627484;-0.138513;-0.077161;-0.096247;-5.78306e+07;-1.63643e+08;-7.65029e+08;-6.5869e+07;1.96345e+08;-5.60719e+06;-1.24421e+07;-1.02028e+07;6.87138e+06;1.86872e+06;-1.50367e+08;-8.60187e+07;-1.1771e+08;-3.68162e+07;-8.23694e+08;1.45339e+07;2.36149e+08;-7.88983e+08
12;0.375319;0.086914;-0.313575;-1.14932e-08;-5.8604e-09;-1.55112e-09;-0.00107039;-0.000507562;-0.000189919;39.3281;-3.43828e+08;1.25709;7.52597e+08;2.01642e+09;0;0;1e+30;-0.079886;428.496;1.33548e+09;109700;2.12671;3495.61;0.00534503;1.15353e-06;-5.81097e+07;-2.47621e+08;-7.25754e+08;-7.26952e+07;2.54747e+08;-1.55196e+07;-1.45814e+07;-1.80583e+08;-8.36321e+08;0.239875;0.648346;0.138781;-0.541128;0.402347;-0.0110802;-0.559293;-0.0141328;0.112153;-0.567757;0.375718;-0.0110802;-0.559293;-0.0141328;0.452461;-0.00711369;-0.119559;0.436321;0.112137;0.112118;-0.00149675;0.00141782;-0.644484;-0.0061422;-0.621518;-0.170406;-0.079886;-0.0988823;-5.81097e+07;-2.47621e+08;-7.25754e+08;-7.26952e+07;2.54747e+08;-1.55196e+07;-1.45814e+07;-1.25367e+07;6.91915e+06;2.75207e+06;-1.80583e+08;-9.21558e+07;-1.41685e+08;-6.35831e+07;-8.36321e+08;1.58849e+07;3.33728e+08;-7.66685e+08
13;0.375026;0.0840543;-0.308417;-1.15189e-08;-5.65858e-09;-1.93419e-09;-0.00106747;-0.000486638;-0.000225503;39.3534;-3.62943e+08;1.2699;7.4877e+08;2.02243e+09;0;0;1e+30;-0.0894205;428.496;1.33548e+09;109700;2.12669;3494.08;0.00535184;6.65489e-07;-9.34322e+07;-2.98433e+08;-6.96963e+08;-7.10022e+07;2.94819e+08;-2.72479e+07;-3.82997e+07;-1.96874e+08;-8.53656e+08;0.238656;0.572829;0.137039;-0.352781;0.215742;-0.0107174;-0.772837;-0.0863192;0.107232;-0.382588;0.185935;-0.0107174;-0.772837;-0.0863192;0.386068;-0.0496688;-0.171688;0.342206;0.103409;0.102485;-0.00926229;0.0102279;-0.578898;-0.0204978;-0.515906;-0.261809;-0.0894205;-0.108303;-9.34322e+07;-2.98433e+08;-6.96963e+08;-7.10022e+07;2.94819e+08;-2.72479e+07;-3.82997e+07;-3.09482e+07;2.00889e+07;1.02721e+07;-1.96874e+08;-1.15955e+08;-1.39742e+08;-7.60645e+07;-8.53656e+08;1.04844e+07;4.01361e+08;-7.53344e+08
14;0.374733;0.0825457;-0.306009;-1.15214e-08;-5.55093e-09;-2.11399e-09;-0.00106494;-0.000475822;-0.000242219;39.3708;-2.88767e+08;1.32445;7.60947e+08;2.02884e+09;0;0;1e+30;-0.0900628;428.496;1.33548e+09;109701;2.12667;3493.51;0.00535657;2.56305e-07;-2.08868e+07;-2.73169e+08;-5.72245e+08;-4.38639e+07;3.36667e+08;-3.95381e+07;2.31363e+07;-9.82344e+07;-7.91202e+08;0.242538;0.604958;0.117332;-0.290053;0.17272;0.00426667;-0.912348;-0.100332;0.0873112;-0.320073;0.1427;0.00426667;-0.912348;-0.100332;0.428465;-0.054734;-0.221259;0.36281;0.0825308;0.081802;-0.00801264;0.00745425;-0.601059;-0.0213785;-0.511397;-0.3151;-0.0900628;-0.109387;-2.08867e+07;-2.73169e+08;-5.72245e+08;-4.38639e+07;3.36667e+08;-3.95382e+07;2.31363e+07;1.84818e+07;-1.15536e+07;-7.76051e+06;-9.82344e+07;-5.90827e+07;-6.62269e+07;-4.21097e+07;-7.91202e+08;-9.55093e+06;4.30547e+08;-6.63731e+08
15;0.374618;0.0807051;-0.303197;-1.15414e-08;-5.41751e-09;-2.32256e-09;-0.00106416;-0.00046245;-0.000262119;39.3903;-3.1069e+08;1.32461;7.67826e+08;2.02463e+09;0;0;1e+30;-0.0913879;428.495;1.33547e+09;109704;2.12665;3493.34;0.00536185;2.71512e-07;-3.08413e+07;-3.03561e+08;-5.97669e+08;-3.68263e+07;3.37737e+08;-2.7112e+07;-4.14067e+06;-1.08945e+08;-8.18986e+08;0.244732;0.61391;0.1202;-0.23336;0.11316;0.0263356;-0.979043;-0.0895408;0.0897371;-0.263823;0.0826978;0.0263356;-0.979043;-0.0895408;0.434378;-0.0552411;-0.24804;0.352291;0.0844014;0.0836962;-0.0076815;0.00771565;-0.610168;-0.0131868;-0.49782;-0.352571;-0.0913879;-0.110581;-3.08413e+07;-3.03561e+08;-5.97669e+08;-3.68263e+07;3.37737e+08;-2.7112e+07;-4.14069e+06;-3.57469e+06;1.74187e+06;1.15447e+06;-1.08945e+08;-5.49808e+07;-7.87742e+07;-5.13875e+07;-8.18986e+08;-2.60018e+06;4.48735e+08;-6.85104e+08
16;0.37417;0.0790701;-0.301275;-1.15299e-08;-5.2994e-09;-2.46849e-09;-0.00106084;-0.000450704;-0.000275609;39.4026;-3.04096e+08;1.33665;7.60995e+08;2.03408e+09;0;0;1e+30;-0.091152;428.495;1.33547e+09;109704;2.12662;3492.89;0.00536518;1.59642e-07;-3.61567e+07;-3.21581e+08;-5.54549e+08;-4.17935e+07;3.51394e+08;-2.00333e+07;-3.66741e+06;-1.00269e+08;-8.08351e+08;0.242555;0.611478;0.112469;-0.205911;0.0934415;0.0101372;-0.99352;-0.0834875;0.0820852;-0.236295;0.0630575;0.0101372;-0.99352;-0.0834875;0.435976;-0.044816;-0.25794;0.348616;0.0789419;0.0784873;-0.00675819;0.00508948;-0.606069;-0.018371;-0.485852;-0.361843;-0.091152;-0.110384;-3.61567e+07;-3.21581e+08;-5.54549e+08;-4.17935e+07;3.51394e+08;-2.00333e+07;-3.66743e+06;-2.98961e+06;1.73993e+06;1.21858e+06;-1.00269e+08;-5.80669e+07;-6.58773e+07;-4.83966e+07;-8.08351e+08;8.63905e+06;4.73599e+08;-6.55027e+08
17;0.37435;0.0771574;-0.299099;-1.15654e-08;-5.16188e-09;-2.62826e-09;-0.00106243;-0.000437054;-0.000291046;39.4015;-3.98496e+08;1.34425;7.51812e+08;2.03102e+09;0;0;1e+30;-0.0916519;428.496;1.33548e+09;109702;2.12667;3492.53;0.00536486;2.02272e-07;-1.50299e+08;-4.56198e+08;-5.88991e+08;-5.05392e+07;3.66336e+08;-3.22668e+07;-9.07838e+07;-2.09726e+08;-8.94977e+08;0.239628;0.593973;0.0995544;-0.163269;0.0637148;-0.0203181;-0.985214;-0.0780913;0.0690038;-0.19382;0.0331642;-0.0203181;-0.985214;-0.0780913;0.426829;-0.0289144;-0.264451;0.333785;0.0689459;0.0687041;-0.00555815;0.00154793;-0.587427;-0.0288617;-0.458657;-0.365884;-0.0916519;-0.110322;-1.50299e+08;-4.56198e+08;-5.88991e+08;-5.05392e+07;3.66336e+08;-3.22668e+07;-9.07838e+07;6.42095e+07;-4.96496e+07;-4.06664e+07;-2.09726e+08;-1.48247e+08;-1.12806e+08;-9.63477e+07;-8.94977e+08;9.2241e+06;5.7418e+08;-6.86453e+08
18;0.374128;0.0748852;-0.296034;-1.15806e-08;-4.99642e-09;-2.85611e-09;-0.00106094;-0.00042146;-0.000312792;39.4242;-3.97676e+08;1.29302;7.48709e+08;2.0229e+09;0;0;1e+30;-0.0909334;428.496;1.33548e+09;109702;2.12671;3491.92;0.00537099;5.69516e-07;-1.38119e+08;-5.10574e+08;-5.44334e+08;-5.09888e+07;3.61758e+08;-5.07404e+07;-7.85186e+07;-2.24901e+08;-8.89609e+08;0.23864;0.577101;0.106281;-0.116617;0.0103366;-0.0152661;-0.97396;-0.0173512;0.0759695;-0.146928;-0.0199746;-0.0152661;-0.97396;-0.0173512;0.407655;-0.00182277;-0.268963;0.30633;0.0761647;0.0761521;-0.00123248;-0.000629008;-0.574753;-0.0101205;-0.431802;-0.379191;-0.0909334;-0.109609;-1.38119e+08;-5.10574e+08;-5.44334e+08;-5.09888e+07;3.61758e+08;-5.07404e+07;-7.85186e+07;-6.04572e+07;3.61655e+07;3.4672e+07;-2.24901e+08;-1.43503e+08;-1.25493e+08;-1.19326e+08;-8.89609e+08;-1.79426e+06;6.14083e+08;-6.43663e+08
19;0.374928;0.0721399;-0.292538;-1.16737e-08;-4.79619e-09;-3.10824e-09;-0.00106743;-0.000402625;-0.000337762;39.4281;-4.36319e+08;1.20095;7.6044e+08;1.99557e+09;0;0;1e+30;-0.0905876;428.497;1.33548e+09;109696;2.12666;3492.43;0.00537203;1.96611e-06;-1.31914e+08;-6.25311e+08;-5.51732e+08;-5.94692e+07;3.34312e+08;-8.12695e+07;-7.50921e+07;-3.08886e+08;-9.24979e+08;0.24238;0.537265;0.122975;-0.0754631;-0.0475124;-0.0201606;-0.904892;0.0239624;0.0927796;-0.105659;-0.0777083;-0.0201606;-0.904892;0.0239624;0.361885;0.0209684;-0.251469;0.259393;0.091875;0.0917205;0.00381987;-0.00371121;-0.544347;0.000942917;-0.390797;-0.378934;-0.0905876;-0.109033;-1.31914e+08;-6.25311e+08;-5.51732e+08;-5.94691e+07;3.34312e+08;-8.12695e+07;-7.50921e+07;-6.53512e+07;2.41073e+07;2.80515e+07;-3.08886e+08;-1.52093e+08;-1.81225e+08;-1.98584e+08;-9.24979e+08;1.18159e+07;-6.87671e+08;6.1851e+08
